,TMC,TMC_HERE,lat_x,lon_x,label
4917,112N04489,112N04489,29.74308,-95.5578,11
4918,112-04490,112N04490,29.7513,-95.55802,11
4919,112N04490,112N04490,29.7513,-95.55802,11
4920,112-04491,112N04491,29.7558,-95.55815,9
4921,112N04491,112N04491,29.7558,-95.55815,9
4922,112-04492,112N04492,29.762235,-95.560215,11
4923,112N04492,112N04492,29.762235,-95.560215,11
4924,112-04493,112N04493,29.773485,-95.562685,11
4925,112N04493,112N04493,29.773485,-95.562685,11
4926,112-04494,112N04494,29.788335,-95.56335,11
4927,112N04494,112N04494,29.788335,-95.56335,11
4928,112-04495,112N04495,29.801525,-95.563695,11
4929,112N04495,112N04495,29.801525,-95.563695,11
4930,112-04496,112N04496,29.815704999999998,-95.563815,11
4931,112N04496,112N04496,29.815704999999998,-95.563815,11
4932,112-04497,112N04497,29.84147,-95.56409000000001,11
4933,112N04497,112N04497,29.84147,-95.56409000000001,11
4934,112-04498,112N04498,29.858935,-95.564175,10
4935,112N04498,112N04498,29.858935,-95.564175,10
4936,112-04499,112N04499,29.865625,-95.563255,11
4937,112N04499,112N04499,29.865625,-95.563255,11
4938,112-04500,112N04500,29.878505,-95.55590500000001,11
4939,112N04500,112N04500,29.878505,-95.55590500000001,11
4940,112-04504,112N04504,29.821285000000003,-95.35546,5
4941,112N04504,112N04504,29.821285000000003,-95.35546,5
4942,112-04505,112N04505,29.832815000000004,-95.35685,5
4943,112N04505,112N04505,29.832815000000004,-95.35685,5
4944,112-04506,112N04506,29.85139,-95.36026,5
4945,112N04506,112N04506,29.85139,-95.36026,5
4946,112-04507,112N04507,29.86574,-95.36385,5
4947,112N04507,112N04507,29.86574,-95.36385,5
4948,112-04508,112N04508,29.883560000000006,-95.36831,10
4949,112N04508,112N04508,29.883560000000006,-95.36831,10
4950,112-04510,112N04510,29.931279999999997,-95.379485,10
4951,112N04510,112N04510,29.931279999999997,-95.379485,10
4952,112-04511,112N04511,29.94837,-95.38009,10
4953,112N04511,112N04511,29.94837,-95.38009,10
4954,112-04512,112N04512,29.977215,-95.388025,10
4955,112N04512,112N04512,29.977215,-95.388025,10
4956,112-04519,112N04519,29.9418,-95.522635,7
4957,112N04519,112N04519,29.9418,-95.522635,7
4958,112-04520,112N04520,29.952790000000004,-95.537335,7
4959,112N04520,112N04520,29.952790000000004,-95.537335,7
4960,112-04521,112N04521,29.958609999999997,-95.544935,7
4961,112N04521,112N04521,29.958609999999997,-95.544935,7
4962,112-04522,112N04522,29.9688,-95.556585,7
4963,112N04522,112N04522,29.9688,-95.556585,7
4964,112-04523,112N04523,29.979365,-95.56680500000002,7
4965,112N04523,112N04523,29.979365,-95.56680500000002,7
4966,112-04525,112N04525,29.992765000000002,-95.575975,7
4967,112N04525,112N04525,29.992765000000002,-95.575975,7
4968,112-04901,112N04901,29.66685,-95.551705,10
4969,112N04901,112N04901,29.66685,-95.551705,10
4970,112-04902,112N04902,29.682470000000002,-95.53609,10
4971,112N04902,112N04902,29.682470000000002,-95.53609,10
4972,112-04903,112N04903,29.699834999999997,-95.51827,10
4973,112N04903,112N04903,29.699834999999997,-95.51827,10
4974,112-04904,112N04904,29.71157,-95.505,10
4975,112N04904,112N04904,29.71157,-95.505,10
4976,112-04905,112N04905,29.721275,-95.49297,11
4977,112N04905,112N04905,29.721275,-95.49297,11
4978,112-04906,112N04906,29.7258,-95.48162,6
4979,112N04906,112N04906,29.7258,-95.48162,6
4980,112-04907,112N04907,29.726275,-95.471195,11
4981,112N04907,112N04907,29.726275,-95.471195,11
4982,112-04908,112N04908,29.728405,-95.45872,10
4983,112N04908,112N04908,29.728405,-95.45872,10
4984,112-04909,112N04909,29.729915000000002,-95.449315,11
4985,112N04909,112N04909,29.729915000000002,-95.449315,11
4986,112-04910,112N04910,29.72935,-95.44289,11
4987,112N04910,112N04910,29.72935,-95.44289,11
4988,112-04911,112N04911,29.729695,-95.431775,11
4989,112N04911,112N04911,29.729695,-95.431775,11
4990,112-04912,112N04912,29.730520000000002,-95.42072,11
4991,112N04912,112N04912,29.730520000000002,-95.42072,11
4992,112-04913,112N04913,29.730805,-95.41074,4
4993,112N04913,112N04913,29.730805,-95.41074,4
4994,112-04914,112N04914,29.594905000000004,-95.19386999999999,7
4995,112N04914,112N04914,29.594905000000004,-95.19386999999999,7
4996,112-04915,112N04915,29.599200000000003,-95.19792,7
4997,112N04915,112N04915,29.599200000000003,-95.19792,7
4998,112-04916,112N04916,29.60963,-95.209055,7
4999,112N04916,112N04916,29.60963,-95.209055,7
5000,112-04917,112N04917,29.622940000000003,-95.223555,7
5001,112N04917,112N04917,29.622940000000003,-95.223555,7
5002,112-04918,112N04918,29.63532,-95.23700000000001,7
5003,112N04918,112N04918,29.63532,-95.23700000000001,7
5004,112-04919,112N04919,29.64935,-95.24927,7
5005,112N04919,112N04919,29.64935,-95.24927,7
5006,112-04920,112N04920,29.662675,-95.258075,3
5007,112N04920,112N04920,29.662675,-95.258075,3
5008,112-04921,112N04921,29.673205,-95.2659,3
5009,112N04921,112N04921,29.673205,-95.2659,3
5010,112-04922,112N04922,29.681135,-95.27332,3
5011,112N04922,112N04922,29.681135,-95.27332,3
5012,112-04923,112N04923,29.688755,-95.28086,3
5013,112N04923,112N04923,29.688755,-95.28086,3
5014,112-04924,112N04924,29.69728,-95.29006,3
5015,112N04924,112N04924,29.69728,-95.29006,3
5016,112-04925,112N04925,29.704095,-95.298755,3
5017,112N04925,112N04925,29.704095,-95.298755,3
5018,112-04926,112N04926,29.708090000000002,-95.3048,3
5019,112N04926,112N04926,29.708090000000002,-95.3048,3
5020,112-04927,112N04927,29.712825,-95.3119,3
5021,112N04927,112N04927,29.712825,-95.3119,3
5022,112-04928,112N04928,29.71732,-95.31905,3
5023,112N04928,112N04928,29.71732,-95.31905,3
5024,112-04929,112N04929,29.721855,-95.326775,7
5025,112N04929,112N04929,29.721855,-95.326775,7
5026,112-04930,112N04930,29.726075,-95.333745,7
5027,112N04930,112N04930,29.726075,-95.333745,7
5028,112-04931,112N04931,29.729565,-95.33901,2
5029,112N04931,112N04931,29.729565,-95.33901,2
5030,112-04932,112N04932,29.73355,-95.344625,2
5031,112N04932,112N04932,29.73355,-95.344625,2
5032,112-04933,112N04933,29.739235,-95.352795,2
5033,112N04933,112N04933,29.739235,-95.352795,2
5034,112-04935,112N04935,29.767459999999996,-95.363975,2
5035,112N04935,112N04935,29.767459999999996,-95.363975,2
5036,112-04936,112N04936,29.77305,-95.366925,2
5037,112N04936,112N04936,29.77305,-95.366925,2
5038,112-04937,112N04937,29.78125,-95.36955999999999,2
5039,112N04937,112N04937,29.78125,-95.36955999999999,2
5040,112-04938,112N04938,29.790275,-95.37100500000001,2
5041,112N04938,112N04938,29.790275,-95.37100500000001,2
5042,112-04939,112N04939,29.797755,-95.37186,7
5043,112N04939,112N04939,29.797755,-95.37186,7
5044,112-04940,112N04940,29.806135,-95.373135,7
5045,112N04940,112N04940,29.806135,-95.373135,7
5046,112-04941,112N04941,29.816425,-95.376715,7
5047,112N04941,112N04941,29.816425,-95.376715,7
5048,112-04942,112N04942,29.825305,-95.380115,7
5049,112N04942,112N04942,29.825305,-95.380115,7
5050,112-04943,112N04943,29.830260000000006,-95.3822,7
5051,112N04943,112N04943,29.830260000000006,-95.3822,7
5052,112-04944,112N04944,29.839879999999997,-95.38889,7
5053,112N04944,112N04944,29.839879999999997,-95.38889,7
5054,112-04945,112N04945,29.85505,-95.399175,7
5055,112N04945,112N04945,29.85505,-95.399175,7
5056,112-04946,112N04946,29.867780000000003,-95.40688,7
5057,112N04946,112N04946,29.867780000000003,-95.40688,7
5058,112-04947,112N04947,29.882084999999996,-95.41098000000001,7
5059,112N04947,112N04947,29.882084999999996,-95.41098000000001,7
5060,112-04948,112N04948,29.896359999999998,-95.41222,7
5061,112N04948,112N04948,29.896359999999998,-95.41222,7
5062,112-04949,112N04949,29.909405,-95.412465,7
5063,112N04949,112N04949,29.909405,-95.412465,7
5064,112-04950,112N04950,29.96465,-95.420265,7
